leg,ok,whyCode,nWaypoints,failWaypoint,minSelfClear,minBoxMargin,minFloorDist,envChecked,tolXY,tolZfloor,tolZceil,seed
sim,1,OK,2,0,0.0172009,0.41769,0.251218,1,0.12,0,0.12,NaN
hw,1,OK,2,0,0.0172009,0.41769,0.251218,1,0.12,0,0.12,NaN
sim,1,OK,2,0,0.0172009,0.41769,0.251218,1,0.12,0,0.12,NaN
hw,1,OK,2,0,0.0172009,0.41769,0.251218,1,0.12,0,0.12,NaN
sim,1,OK,37,0,0.0171371,0.391677,0.180678,1,0.12,0,0.12,NaN
hw,1,OK,37,0,0.0171371,0.391677,0.180678,1,0.12,0,0.12,NaN
sim,1,OK,11,0,0.0171636,0.388472,0.0606776,1,0.12,0,0.12,NaN
hw,1,OK,12,0,0.0171636,0.388472,0.0606776,1,0.12,0,0.12,NaN
sim,1,OK,11,0,0.0171636,0.388472,0.0606776,1,0.12,0,0.12,NaN
hw,1,OK,12,0,0.0171636,0.388472,0.0606776,1,0.12,0,0.12,NaN
sim,1,OK,29,0,0.0171407,0.15,0.180678,1,0.12,0,0.12,NaN
hw,1,OK,29,0,0.0171407,0.15,0.180678,1,0.12,0,0.12,NaN
sim,1,OK,8,0,0.0172369,0.146711,0.0606777,1,0.12,0,0.12,NaN
hw,1,OK,8,0,0.0172369,0.146711,0.0606777,1,0.12,0,0.12,NaN
sim,1,OK,8,0,0.0172369,0.146711,0.0606777,1,0.12,0,0.12,NaN
hw,1,OK,9,0,0.0172367,0.146711,0.0606777,1,0.12,0,0.12,NaN
sim,1,OK,31,0,0.0171535,0.15,0.155678,1,0.12,0,0.12,NaN
hw,1,OK,31,0,0.0171535,0.15,0.155678,1,0.12,0,0.12,NaN
sim,1,OK,11,0,0.0171695,0.375539,0.0356776,1,0.12,0,0.12,NaN
hw,1,OK,12,0,0.0171695,0.37303,0.0356776,1,0.12,0,0.12,NaN
sim,1,OK,11,0,0.0171695,0.375539,0.0356776,1,0.12,0,0.12,NaN
hw,1,OK,12,0,0.0171695,0.375539,0.0356776,1,0.12,0,0.12,NaN
sim,1,OK,6,0,0.0171934,0.366593,0.155678,1,0.12,0,0.12,NaN
hw,1,OK,6,0,0.0171934,0.366593,0.155678,1,0.12,0,0.12,NaN
sim,1,OK,10,0,0.01718,0.36206,0.100678,1,0.12,0,0.12,NaN
hw,1,OK,10,0,0.01718,0.36206,0.100678,1,0.12,0,0.12,NaN
sim,1,OK,10,0,0.01718,0.36206,0.100678,1,0.12,0,0.12,NaN
hw,1,OK,11,0,0.01718,0.36206,0.100678,1,0.12,0,0.12,NaN
sim,1,OK,46,0,0.0172168,0.366335,0.191678,1,0.12,0,0.12,NaN
hw,1,OK,46,0,0.0172168,0.366335,0.191678,1,0.12,0,0.12,NaN
sim,1,OK,6,0,0.0171521,0.366593,0.191678,1,0.12,0,0.12,NaN
hw,1,OK,6,0,0.0171521,0.366593,0.191678,1,0.12,0,0.12,NaN
sim,1,OK,2,0,0.0172009,0.41769,0.251218,1,0.12,0,0.12,NaN
hw,1,OK,2,0,0.0172009,0.41769,0.251218,1,0.12,0,0.12,NaN
sim,1,OK,9,0,0.0171697,0.392477,0.251218,1,0.12,0,0.12,NaN
hw,1,OK,9,0,0.0171697,0.392477,0.251218,1,0.12,0,0.12,NaN
sim,1,OK,10,0,0.0171749,0.392477,0.134678,1,0.12,0,0.12,NaN
hw,1,OK,11,0,0.0171749,0.392477,0.134678,1,0.12,0,0.12,NaN
sim,1,OK,10,0,0.0171749,0.392477,0.134678,1,0.12,0,0.12,NaN
hw,1,OK,11,0,0.0171749,0.392477,0.134678,1,0.12,0,0.12,NaN
sim,1,OK,2,0,0.0172375,0.392477,0.254677,1,0.12,0,0.12,NaN
hw,1,OK,2,0,0.0172375,0.392477,0.254677,1,0.12,0,0.12,NaN
sim,1,OK,5,0,0.0172238,0.39261,0.208678,1,0.12,0,0.12,NaN
hw,1,OK,5,0,0.0172238,0.39261,0.208678,1,0.12,0,0.12,NaN
sim,1,OK,5,0,0.0172238,0.39261,0.208678,1,0.12,0,0.12,NaN
hw,1,OK,6,0,0.0172238,0.39261,0.208678,1,0.12,0,0.12,NaN
sim,1,OK,52,0,0.0171268,0.39261,0.146678,1,0.12,0,0.12,NaN
hw,1,OK,52,0,0.0171268,0.39261,0.146678,1,0.12,0,0.12,NaN
sim,1,OK,12,0,0.0171545,0.4121,0.0266776,1,0.12,0,0.12,NaN
hw,1,OK,13,0,0.0171545,0.4121,0.0266776,1,0.12,0,0.12,NaN
sim,1,OK,12,0,0.0171545,0.4121,0.0266776,1,0.12,0,0.12,NaN
hw,1,OK,13,0,0.0171545,0.4121,0.0266776,1,0.12,0,0.12,NaN
sim,1,OK,45,0,0.0171902,0.41713,0.146678,1,0.12,0,0.12,NaN
hw,1,OK,45,0,0.0171902,0.41713,0.146678,1,0.12,0,0.12,NaN
sim,1,OK,5,0,0.0172009,0.416374,0.191678,1,0.12,0,0.12,NaN
hw,1,OK,5,0,0.0172009,0.416374,0.191678,1,0.12,0,0.12,NaN
sim,1,OK,2,0,0.0172009,0.41769,0.251218,1,0.12,0,0.12,NaN
hw,1,OK,2,0,0.0172009,0.41769,0.251218,1,0.12,0,0.12,NaN
sim,1,OK,2,0,0.0172009,0.394699,0.245678,1,0.12,0,0.12,NaN
hw,1,OK,2,0,0.0172009,0.394699,0.245678,1,0.12,0,0.12,NaN
sim,1,OK,10,0,0.0172208,0.389788,0.125678,1,0.12,0,0.12,NaN
hw,1,OK,11,0,0.0171907,0.389788,0.125678,1,0.12,0,0.12,NaN
sim,1,OK,10,0,0.0172208,0.389788,0.125678,1,0.12,0,0.12,NaN
hw,1,OK,11,0,0.0172208,0.389788,0.125678,1,0.12,0,0.12,NaN
sim,1,OK,27,0,0.0171594,0.15,0.180678,1,0.12,0,0.12,NaN
hw,1,OK,27,0,0.0171594,0.15,0.180678,1,0.12,0,0.12,NaN
sim,1,OK,8,0,0.0172369,0.146711,0.0606777,1,0.12,0,0.12,NaN
hw,1,OK,8,0,0.0172369,0.146711,0.0606777,1,0.12,0,0.12,NaN
sim,1,OK,8,0,0.0172369,0.146711,0.0606777,1,0.12,0,0.12,NaN
hw,1,OK,9,0,0.0172367,0.146711,0.0606777,1,0.12,0,0.12,NaN
sim,1,OK,37,0,0.017133,0.15,0.155678,1,0.12,0,0.12,NaN
hw,1,OK,37,0,0.017133,0.15,0.155678,1,0.12,0,0.12,NaN
sim,1,OK,13,0,0.0172131,0.335754,0.0356777,1,0.12,0,0.12,NaN
hw,1,OK,14,0,0.0172131,0.335754,0.0356777,1,0.12,0,0.12,NaN
sim,1,OK,13,0,0.0172131,0.335754,0.0356777,1,0.12,0,0.12,NaN
hw,1,OK,14,0,0.0172131,0.335754,0.0356777,1,0.12,0,0.12,NaN
sim,1,OK,24,0,0.0171362,0.292224,0.155678,1,0.12,0,0.12,NaN
hw,1,OK,24,0,0.0171362,0.292224,0.155678,1,0.12,0,0.12,NaN
sim,1,OK,10,0,0.017218,0.288145,0.134678,1,0.12,0,0.12,NaN
hw,1,OK,10,0,0.017218,0.288145,0.134678,1,0.12,0,0.12,NaN
sim,1,OK,10,0,0.017218,0.288145,0.134678,1,0.12,0,0.12,NaN
hw,1,OK,11,0,0.017218,0.288145,0.134678,1,0.12,0,0.12,NaN
sim,1,OK,29,0,0.0171253,0.292225,0.146678,1,0.12,0,0.12,NaN
hw,1,OK,29,0,0.0171253,0.292225,0.146678,1,0.12,0,0.12,NaN
sim,1,OK,11,0,0.0171887,0.399913,0.0266777,1,0.12,0,0.12,NaN
hw,1,OK,12,0,0.0171887,0.399913,0.0266777,1,0.12,0,0.12,NaN
sim,1,OK,11,0,0.0171887,0.399913,0.0266777,1,0.12,0,0.12,NaN
hw,1,OK,12,0,0.0171887,0.399913,0.0266777,1,0.12,0,0.12,NaN
sim,1,OK,37,0,0.0171358,0.122045,0.146677,1,0.12,0,0.12,NaN
hw,1,OK,37,0,0.0171358,0.122045,0.146677,1,0.12,0,0.12,NaN
sim,1,OK,24,0,0.0171339,0.122045,0.176678,1,0.12,0,0.12,NaN
hw,1,OK,24,0,0.0171339,0.122045,0.176678,1,0.12,0,0.12,NaN
sim,1,OK,2,0,0.0172009,0.41769,0.251218,1,0.12,0,0.12,NaN
hw,1,OK,2,0,0.0172009,0.41769,0.251218,1,0.12,0,0.12,NaN
sim,1,OK,11,0,0.0171534,0.283823,0.251218,1,0.12,0,0.12,NaN
hw,1,OK,11,0,0.0171534,0.283823,0.251218,1,0.12,0,0.12,NaN
sim,1,OK,6,0,0.0172545,0.283823,0.199678,1,0.12,0,0.12,NaN
hw,1,OK,7,0,0.0172522,0.283823,0.199678,1,0.12,0,0.12,NaN
sim,1,OK,6,0,0.0172545,0.283823,0.199678,1,0.12,0,0.12,NaN
hw,1,OK,7,0,0.0172545,0.283823,0.199678,1,0.12,0,0.12,NaN
sim,1,OK,38,0,0.0171424,0.15,0.155678,1,0.12,0,0.12,NaN
hw,1,OK,38,0,0.0171424,0.15,0.155678,1,0.12,0,0.12,NaN
sim,1,OK,8,0,0.0172371,0.146876,0.0356777,1,0.12,0,0.12,NaN
hw,1,OK,8,0,0.0172371,0.146876,0.0356777,1,0.12,0,0.12,NaN
