leg,ok,whyCode,nWaypoints,failWaypoint,minSelfClear,minBoxMargin,minFloorDist,envChecked,tolXY,tolZfloor,tolZceil,seed
sim,1,OK,2,0,0.0172009,0.41769,0.251218,1,0.12,0,0.12,NaN
hw,1,OK,2,0,0.0172009,0.41769,0.251218,1,0.12,0,0.12,NaN
sim,1,OK,2,0,0.0172009,0.41769,0.251218,1,0.12,0,0.12,NaN
hw,1,OK,2,0,0.0172009,0.41769,0.251218,1,0.12,0,0.12,NaN
sim,1,OK,10,0,0.0171654,0.296379,0.245678,1,0.12,0,0.12,NaN
hw,1,OK,10,0,0.0171654,0.296379,0.245678,1,0.12,0,0.12,NaN
sim,1,OK,10,0,0.0171468,0.296379,0.125678,1,0.12,0,0.12,NaN
hw,1,OK,11,0,0.0171468,0.296379,0.125678,1,0.12,0,0.12,NaN
sim,1,OK,10,0,0.0171468,0.296379,0.125678,1,0.12,0,0.12,NaN
hw,1,OK,11,0,0.0171468,0.296379,0.125678,1,0.12,0,0.12,NaN
sim,1,OK,36,0,0.0171569,0.15,0.180678,1,0.12,0,0.12,NaN
hw,1,OK,36,0,0.0171569,0.15,0.180678,1,0.12,0,0.12,NaN
sim,1,OK,8,0,0.0172369,0.146711,0.0606777,1,0.12,0,0.12,NaN
hw,1,OK,8,0,0.0172369,0.146711,0.0606777,1,0.12,0,0.12,NaN
sim,1,OK,8,0,0.0172369,0.146711,0.0606777,1,0.12,0,0.12,NaN
hw,1,OK,9,0,0.0172367,0.146711,0.0606777,1,0.12,0,0.12,NaN
sim,1,OK,35,0,0.0171371,0.15,0.155678,1,0.12,0,0.12,NaN
hw,1,OK,35,0,0.0171371,0.15,0.155678,1,0.12,0,0.12,NaN
sim,1,OK,12,0,0.0171502,0.389917,0.0356777,1,0.12,0,0.12,NaN
hw,1,OK,13,0,0.0171502,0.389917,0.0356777,1,0.12,0,0.12,NaN
sim,1,OK,12,0,0.0171502,0.389917,0.0356777,1,0.12,0,0.12,NaN
hw,1,OK,13,0,0.0171502,0.389917,0.0356777,1,0.12,0,0.12,NaN
sim,1,OK,26,0,0.0171584,0.271204,0.155677,1,0.12,0,0.12,NaN
hw,1,OK,26,0,0.0171584,0.271204,0.155677,1,0.12,0,0.12,NaN
sim,1,OK,6,0,0.017242,0.313657,0.199678,1,0.12,0,0.12,NaN
hw,1,OK,6,0,0.017242,0.313657,0.199678,1,0.12,0,0.12,NaN
sim,1,OK,6,0,0.017242,0.313657,0.199678,1,0.12,0,0.12,NaN
hw,1,OK,7,0,0.017242,0.313657,0.199678,1,0.12,0,0.12,NaN
sim,1,OK,9,0,0.0171609,0.313657,0.251218,1,0.12,0,0.12,NaN
hw,1,OK,9,0,0.0171609,0.313657,0.251218,1,0.12,0,0.12,NaN
sim,1,OK,54,0,0.0171704,0.39783,0.180678,1,0.12,0,0.12,NaN
hw,1,OK,54,0,0.0171704,0.39783,0.180678,1,0.12,0,0.12,NaN
sim,1,OK,11,0,0.0171398,0.394655,0.0606777,1,0.12,0,0.12,NaN
hw,1,OK,12,0,0.0171398,0.394655,0.0606777,1,0.12,0,0.12,NaN
sim,1,OK,11,0,0.0171398,0.394655,0.0606777,1,0.12,0,0.12,NaN
hw,1,OK,12,0,0.0171398,0.394655,0.0606777,1,0.12,0,0.12,NaN
sim,1,OK,32,0,0.0171312,0.148701,0.180678,1,0.12,0,0.12,NaN
hw,1,OK,32,0,0.0171312,0.148701,0.180678,1,0.12,0,0.12,NaN
sim,1,OK,8,0,0.0172369,0.146711,0.0606777,1,0.12,0,0.12,NaN
hw,1,OK,8,0,0.0172369,0.146711,0.0606777,1,0.12,0,0.12,NaN
sim,1,OK,8,0,0.0172369,0.146711,0.0606777,1,0.12,0,0.12,NaN
hw,1,OK,9,0,0.0172367,0.146711,0.0606777,1,0.12,0,0.12,NaN
sim,1,OK,40,0,0.0171544,0.15,0.146678,1,0.12,0,0.12,NaN
hw,1,OK,40,0,0.0171544,0.15,0.146678,1,0.12,0,0.12,NaN
sim,1,OK,13,0,0.0172321,0.313657,0.0266777,1,0.12,0,0.12,NaN
hw,1,OK,14,0,0.0172296,0.313657,0.0266777,1,0.12,0,0.12,NaN
sim,1,OK,13,0,0.0172321,0.313657,0.0266777,1,0.12,0,0.12,NaN
hw,1,OK,14,0,0.0172321,0.313657,0.0266777,1,0.12,0,0.12,NaN
sim,1,OK,38,0,0.0171564,0.15,0.146677,1,0.12,0,0.12,NaN
hw,1,OK,38,0,0.0171564,0.15,0.146677,1,0.12,0,0.12,NaN
sim,1,OK,8,0,0.0172367,0.146928,0.0266777,1,0.12,0,0.12,NaN
hw,1,OK,8,0,0.0172367,0.146928,0.0266777,1,0.12,0,0.12,NaN
sim,1,OK,8,0,0.0172367,0.146928,0.0266777,1,0.12,0,0.12,NaN
hw,1,OK,9,0,0.0172367,0.146928,0.0266777,1,0.12,0,0.12,NaN
sim,1,OK,32,0,0.0171357,0.090662,0.146677,1,0.12,0,0.12,NaN
hw,1,OK,32,0,0.0171357,0.090662,0.146677,1,0.12,0,0.12,NaN
sim,1,OK,43,0,0.0171347,0.145519,0.156678,1,0.12,0,0.12,NaN
hw,1,OK,43,0,0.0171347,0.145519,0.156678,1,0.12,0,0.12,NaN
sim,1,OK,10,0,0.0172264,0.285855,0.0606776,1,0.12,0,0.12,NaN
hw,1,OK,11,0,0.0172264,0.2843,0.0606776,1,0.12,0,0.12,NaN
sim,1,OK,10,0,0.0172264,0.285855,0.0606776,1,0.12,0,0.12,NaN
hw,1,OK,11,0,0.0172264,0.285855,0.0606776,1,0.12,0,0.12,NaN
sim,1,OK,23,0,0.0171399,0.148199,0.180678,1,0.12,0,0.12,NaN
hw,1,OK,23,0,0.0171399,0.148199,0.180678,1,0.12,0,0.12,NaN
sim,1,OK,8,0,0.0172369,0.146711,0.0606776,1,0.12,0,0.12,NaN
hw,1,OK,8,0,0.0172369,0.146711,0.0606776,1,0.12,0,0.12,NaN
sim,1,OK,8,0,0.0172369,0.146711,0.0606776,1,0.12,0,0.12,NaN
hw,1,OK,9,0,0.0172367,0.146711,0.0606776,1,0.12,0,0.12,NaN
sim,1,OK,35,0,0.0171288,0.15,0.155678,1,0.12,0,0.12,NaN
hw,1,OK,35,0,0.0171288,0.15,0.155678,1,0.12,0,0.12,NaN
sim,1,OK,12,0,0.0172079,0.372003,0.0356777,1,0.12,0,0.12,NaN
hw,1,OK,13,0,0.0172079,0.372003,0.0356777,1,0.12,0,0.12,NaN
sim,1,OK,12,0,0.0172079,0.372003,0.0356777,1,0.12,0,0.12,NaN
hw,1,OK,13,0,0.0172079,0.372003,0.0356777,1,0.12,0,0.12,NaN
sim,1,OK,7,0,0.0172141,0.372003,0.155678,1,0.12,0,0.12,NaN
hw,1,OK,7,0,0.0172141,0.372003,0.155678,1,0.12,0,0.12,NaN
sim,1,OK,11,0,0.0172142,0.372003,0.109678,1,0.12,0,0.12,NaN
hw,1,OK,11,0,0.0172142,0.372003,0.109678,1,0.12,0,0.12,NaN
sim,1,OK,11,0,0.0172142,0.372003,0.109678,1,0.12,0,0.12,NaN
hw,1,OK,12,0,0.0172142,0.372003,0.109678,1,0.12,0,0.12,NaN
sim,1,OK,8,0,0.0171407,0.36481,0.155678,1,0.12,0,0.12,NaN
hw,1,OK,8,0,0.0171407,0.36481,0.155678,1,0.12,0,0.12,NaN
sim,1,OK,11,0,0.0172109,0.359654,0.0356777,1,0.12,0,0.12,NaN
hw,1,OK,12,0,0.0172109,0.359654,0.0356777,1,0.12,0,0.12,NaN
sim,1,OK,15,0,0.0171439,0.358109,0.0813187,1,0.12,0,0.12,NaN
hw,1,OK,15,0,0.0171439,0.358109,0.0813187,1,0.12,0,0.12,NaN
sim,1,OK,41,0,0.01714,0.36481,0.155678,1,0.12,0,0.12,NaN
hw,1,OK,41,0,0.01714,0.36481,0.155678,1,0.12,0,0.12,NaN
sim,1,OK,11,0,0.0172109,0.359654,0.0356776,1,0.12,0,0.12,NaN
hw,1,OK,12,0,0.0172109,0.359654,0.0356776,1,0.12,0,0.12,NaN
sim,1,OK,11,0,0.0172109,0.359654,0.0356776,1,0.12,0,0.12,NaN
hw,1,OK,12,0,0.0172109,0.359654,0.0356776,1,0.12,0,0.12,NaN
sim,1,OK,60,0,0.0171678,0.237487,0.155677,1,0.12,0,0.12,NaN
hw,1,OK,60,0,0.0171678,0.237487,0.155677,1,0.12,0,0.12,NaN
sim,1,OK,11,0,0.0171281,0.235652,0.0606777,1,0.12,0,0.12,NaN
hw,1,OK,12,0,0.0171281,0.235652,0.0606777,1,0.12,0,0.12,NaN
sim,1,OK,11,0,0.0171281,0.235652,0.0606777,1,0.12,0,0.12,NaN
hw,1,OK,12,0,0.0171281,0.235652,0.0606777,1,0.12,0,0.12,NaN
sim,1,OK,29,0,0.017134,0.15,0.180677,1,0.12,0,0.12,NaN
hw,1,OK,29,0,0.017134,0.15,0.180677,1,0.12,0,0.12,NaN
sim,1,OK,8,0,0.0172369,0.146711,0.0606777,1,0.12,0,0.12,NaN
hw,1,OK,8,0,0.0172369,0.146711,0.0606777,1,0.12,0,0.12,NaN
sim,1,OK,8,0,0.0172369,0.146711,0.0606777,1,0.12,0,0.12,NaN
