iso_time,status,label,nWaypoints,nCertified,maxCollapseDevDeg
2026-07-29T18:40:25.339,reached,leg,3,14,0.000000
2026-07-29T18:40:29.826,attempt,leg,3,14,0.000000
2026-07-29T18:40:33.850,reached,leg,3,14,0.000000
2026-07-29T18:40:46.758,attempt,leg,2,21,0.000000
2026-07-29T18:40:51.457,reached,leg,2,21,0.000000
2026-07-29T18:40:52.099,attempt,leg,2,9,0.000000
2026-07-29T18:40:54.939,reached,leg,2,9,0.000000
2026-07-29T18:40:59.089,attempt,leg,3,10,0.000000
2026-07-29T18:41:02.436,reached,leg,3,10,0.000000
2026-07-29T18:43:48.937,attempt,leg,2,16,0.000000
2026-07-29T18:43:52.906,reached,leg,2,16,0.000000
2026-07-29T18:43:57.112,attempt,leg,3,11,0.000000
2026-07-29T18:44:00.657,reached,leg,3,11,0.000000
2026-07-29T18:44:04.919,attempt,leg,3,11,0.000000
2026-07-29T18:44:08.466,reached,leg,3,11,0.000000
2026-07-29T18:44:40.601,attempt,leg,3,83,0.000000
2026-07-29T18:44:49.913,reached,leg,3,83,0.000000
2026-07-29T18:44:50.647,attempt,leg,2,10,0.000000
2026-07-29T18:44:53.539,reached,leg,2,10,0.000000
2026-07-29T18:44:57.777,attempt,leg,3,11,0.000000
2026-07-29T18:45:01.160,reached,leg,3,11,0.000000
2026-07-29T18:45:27.343,attempt,leg,2,48,0.000000
2026-07-29T18:45:34.837,reached,leg,2,48,0.000000
2026-07-29T18:46:14.399,attempt,leg,2,48,0.000000
2026-07-29T18:46:21.804,reached,leg,2,48,0.000000
2026-07-29T18:46:26.182,attempt,leg,3,13,0.000000
2026-07-29T18:46:29.977,reached,leg,3,13,0.000000
2026-07-29T18:46:34.391,attempt,leg,3,13,0.000000
2026-07-29T18:46:38.226,reached,leg,3,13,0.000000
2026-07-29T18:46:50.847,attempt,leg,2,62,0.000000
2026-07-29T18:46:59.456,reached,leg,2,62,0.000000
2026-07-29T18:52:57.602,attempt,leg,2,45,0.000000
2026-07-29T18:53:04.867,reached,leg,2,45,0.000000
2026-07-29T18:53:05.434,attempt,leg,2,8,0.000000
2026-07-29T18:53:08.067,reached,leg,2,8,0.000000
2026-07-29T18:53:12.146,attempt,leg,3,9,0.000000
2026-07-29T18:53:15.236,reached,leg,3,9,0.000000
2026-07-29T18:53:17.956,attempt,leg,2,36,0.000000
2026-07-29T18:53:24.282,reached,leg,2,36,0.000000
2026-07-29T18:53:28.650,attempt,leg,3,13,0.000000
2026-07-29T18:53:32.513,reached,leg,3,13,0.000000
2026-07-29T18:53:36.922,attempt,leg,3,13,0.000000
2026-07-29T18:53:40.786,reached,leg,3,13,0.000000
2026-07-29T18:54:19.211,attempt,leg,2,41,0.000000
2026-07-29T18:54:26.029,reached,leg,2,41,0.000000
2026-07-29T18:54:26.672,attempt,leg,2,9,0.000000
2026-07-29T18:54:29.466,reached,leg,2,9,0.000000
2026-07-29T18:54:33.624,attempt,leg,3,10,0.000000
2026-07-29T18:54:36.953,reached,leg,3,10,0.000000
2026-07-29T18:54:45.816,attempt,leg,2,42,0.000000
2026-07-29T18:54:52.752,reached,leg,2,42,0.000000
2026-07-29T18:54:57.160,attempt,leg,3,14,0.000000
2026-07-29T18:55:01.129,reached,leg,3,14,0.000000
2026-07-29T18:55:05.623,attempt,leg,3,14,0.000000
2026-07-29T18:55:09.553,reached,leg,3,14,0.000000
2026-07-29T18:55:19.369,attempt,leg,2,16,0.000000
2026-07-29T18:55:23.314,reached,leg,2,16,0.000000
2026-07-29T18:55:38.257,attempt,leg,2,55,0.000000
2026-07-29T18:55:46.248,reached,leg,2,55,0.000000
2026-07-29T18:55:49.175,attempt,leg,2,2,0.000000
2026-07-29T18:55:49.617,reached,leg,2,2,0.000000
2026-07-29T18:55:50.495,attempt,leg,2,12,0.000000
2026-07-29T18:55:53.794,reached,leg,2,12,0.000000
2026-07-29T18:55:58.149,attempt,leg,3,13,0.000000
2026-07-29T18:56:01.995,reached,leg,3,13,0.000000
2026-07-29T18:56:08.175,attempt,leg,2,25,0.000000
2026-07-29T18:56:13.328,reached,leg,2,25,0.000000
2026-07-29T18:56:17.680,attempt,leg,3,13,0.000000
2026-07-29T18:56:21.554,reached,leg,3,13,0.000000
2026-07-29T18:56:25.988,attempt,leg,3,13,0.000000
2026-07-29T18:56:29.936,reached,leg,3,13,0.000000
2026-07-29T18:56:41.711,attempt,leg,2,9,0.000000
2026-07-29T18:56:44.507,reached,leg,2,9,0.000000
