iso_time,status,label,nWaypoints
2026-07-29T16:56:55.233,attempt,leg,2
2026-07-29T16:56:55.249,reached,leg,2
2026-07-29T16:56:59.901,attempt,leg,2
2026-07-29T16:56:59.912,reached,leg,2
2026-07-29T17:07:48.668,attempt,leg,2
2026-07-29T17:07:51.696,reached,leg,2
2026-07-29T17:07:55.919,attempt,leg,3
2026-07-29T17:07:59.458,reached,leg,3
2026-07-29T17:08:03.767,attempt,leg,3
2026-07-29T17:08:07.296,reached,leg,3
2026-07-29T17:08:22.792,attempt,leg,2
2026-07-29T17:08:29.199,reached,leg,2
2026-07-29T17:08:29.776,attempt,leg,2
2026-07-29T17:08:32.431,reached,leg,2
2026-07-29T17:08:36.519,attempt,leg,3
2026-07-29T17:08:39.601,reached,leg,3
2026-07-29T17:08:47.661,attempt,leg,2
2026-07-29T17:08:53.905,reached,leg,2
2026-07-29T17:08:58.262,attempt,leg,3
2026-07-29T17:09:02.098,reached,leg,3
2026-07-29T17:09:06.525,attempt,leg,3
2026-07-29T17:09:10.384,reached,leg,3
2026-07-29T17:09:20.759,attempt,leg,3
2026-07-29T17:09:26.790,reached,leg,3
2026-07-29T17:09:27.230,attempt,leg,2
2026-07-29T17:09:29.431,reached,leg,2
2026-07-29T17:09:33.381,attempt,leg,3
2026-07-29T17:09:35.959,reached,leg,3
2026-07-29T17:10:41.458,attempt,leg,2
2026-07-29T17:10:44.189,reached,leg,2
2026-07-29T17:10:55.097,attempt,leg,2
2026-07-29T17:11:03.025,reached,leg,2
2026-07-29T17:11:07.338,attempt,leg,3
2026-07-29T17:11:11.069,reached,leg,3
2026-07-29T17:11:15.463,attempt,leg,3
2026-07-29T17:11:19.134,reached,leg,3
2026-07-29T17:11:27.933,attempt,leg,2
2026-07-29T17:11:33.889,reached,leg,2
2026-07-29T17:11:34.517,attempt,leg,2
2026-07-29T17:11:37.128,reached,leg,2
2026-07-29T17:11:41.253,attempt,leg,3
2026-07-29T17:11:44.390,reached,leg,3
2026-07-29T17:12:06.807,attempt,leg,2
2026-07-29T17:12:13.526,reached,leg,2
2026-07-29T17:12:17.997,attempt,leg,3
2026-07-29T17:12:22.102,reached,leg,3
2026-07-29T17:12:26.685,attempt,leg,3
2026-07-29T17:12:30.741,reached,leg,3
2026-07-29T17:12:47.517,attempt,leg,2
2026-07-29T17:12:54.055,reached,leg,2
2026-07-29T17:12:54.653,attempt,leg,2
2026-07-29T17:12:57.183,reached,leg,2
2026-07-29T17:13:01.294,attempt,leg,3
2026-07-29T17:13:04.333,reached,leg,3
2026-07-29T17:14:44.778,attempt,leg,2
2026-07-29T17:14:50.779,reached,leg,2
2026-07-29T17:15:38.595,attempt,leg,3
2026-07-29T17:15:45.445,reached,leg,3
2026-07-29T17:15:49.682,attempt,leg,3
2026-07-29T17:15:53.050,reached,leg,3
2026-07-29T17:15:57.585,attempt,leg,3
2026-07-29T17:16:01.002,reached,leg,3
2026-07-29T17:16:26.147,attempt,leg,2
2026-07-29T17:16:31.129,reached,leg,2
2026-07-29T17:16:31.713,attempt,leg,2
2026-07-29T17:16:34.329,reached,leg,2
2026-07-29T17:16:38.449,attempt,leg,3
2026-07-29T17:16:41.562,reached,leg,3
2026-07-29T17:18:33.753,attempt,leg,2
2026-07-29T17:18:40.016,reached,leg,2
2026-07-29T17:18:44.543,attempt,leg,3
2026-07-29T17:18:48.394,reached,leg,3
2026-07-29T17:18:52.846,attempt,leg,3
2026-07-29T17:18:56.706,reached,leg,3
2026-07-29T17:19:06.272,attempt,leg,2
2026-07-29T17:19:08.472,reached,leg,2
2026-07-29T17:19:09.280,attempt,leg,2
2026-07-29T17:19:12.351,reached,leg,2
2026-07-29T17:19:16.655,attempt,leg,3
2026-07-29T17:19:20.280,reached,leg,3
2026-07-29T17:19:33.897,attempt,leg,2
2026-07-29T17:19:36.536,reached,leg,2
2026-07-29T17:19:40.831,attempt,leg,3
2026-07-29T17:22:15.584,attempt,leg,2
2026-07-29T17:22:19.475,reached,leg,2
2026-07-29T17:40:53.723,attempt,leg,2
2026-07-29T17:41:00.532,reached,leg,2
2026-07-29T17:41:04.884,attempt,leg,3
2026-07-29T17:41:08.463,reached,leg,3
2026-07-29T17:41:12.840,attempt,leg,3
2026-07-29T17:41:16.428,reached,leg,3
2026-07-29T17:45:48.040,attempt,leg,2
2026-07-29T17:45:56.494,reached,leg,2
2026-07-29T17:46:01.073,attempt,leg,3
2026-07-29T17:46:04.711,reached,leg,3
2026-07-29T17:46:09.469,attempt,leg,3
2026-07-29T17:46:13.015,reached,leg,3
2026-07-29T17:46:30.743,attempt,leg,2
2026-07-29T17:46:36.398,reached,leg,2
2026-07-29T17:46:36.998,attempt,leg,2
2026-07-29T17:46:39.646,reached,leg,2
2026-07-29T17:46:43.749,attempt,leg,3
2026-07-29T17:46:46.849,reached,leg,3
2026-07-29T17:47:03.646,attempt,leg,2
2026-07-29T17:47:12.079,reached,leg,2
2026-07-29T17:47:16.461,attempt,leg,3
2026-07-29T17:47:20.341,reached,leg,3
2026-07-29T17:47:24.788,attempt,leg,3
2026-07-29T17:47:28.631,reached,leg,3
2026-07-29T17:47:37.701,attempt,leg,2
2026-07-29T17:47:42.582,reached,leg,2
2026-07-29T17:47:43.317,attempt,leg,2
2026-07-29T17:47:46.237,reached,leg,2
2026-07-29T17:47:50.525,attempt,leg,3
2026-07-29T17:47:53.942,reached,leg,3
2026-07-29T17:48:00.590,attempt,leg,2
2026-07-29T17:48:04.182,reached,leg,2
2026-07-29T17:48:41.580,attempt,leg,3
2026-07-29T17:48:49.604,reached,leg,3
2026-07-29T17:49:06.620,attempt,leg,2
2026-07-29T17:49:13.351,reached,leg,2
2026-07-29T17:49:52.180,attempt,leg,2
2026-07-29T17:50:00.971,reached,leg,2
2026-07-29T17:50:05.346,attempt,leg,3
2026-07-29T17:50:09.219,reached,leg,3
2026-07-29T17:50:13.675,attempt,leg,3
2026-07-29T17:50:17.532,reached,leg,3
2026-07-29T17:50:27.846,attempt,leg,2
2026-07-29T17:50:34.483,reached,leg,2
2026-07-29T17:50:35.068,attempt,leg,2
2026-07-29T17:50:37.676,reached,leg,2
2026-07-29T17:50:41.778,attempt,leg,3
2026-07-29T17:50:44.922,reached,leg,3
2026-07-29T17:50:56.410,attempt,leg,2
2026-07-29T17:51:03.419,reached,leg,2
2026-07-29T17:51:07.818,attempt,leg,3
2026-07-29T17:51:11.761,reached,leg,3
2026-07-29T17:51:16.211,attempt,leg,3
2026-07-29T17:51:20.108,reached,leg,3
2026-07-29T17:51:48.619,attempt,leg,2
