leg,ok,whyCode,nWaypoints,failWaypoint,minSelfClear,minBoxMargin,minFloorDist,envChecked,tolXY,tolZfloor,tolZceil,seed
sim,1,OK,2,0,0.0172009,0.41769,0.251218,1,0.12,0,0.12,NaN
hw,1,OK,2,0,0.0172009,0.41769,0.251218,1,0.12,0,0.12,NaN
sim,1,OK,2,0,0.0172009,0.41769,0.251218,1,0.12,0,0.12,NaN
hw,1,OK,2,0,0.0172009,0.41769,0.251218,1,0.12,0,0.12,NaN
sim,1,OK,47,0,0.0171257,0.371313,0.180678,1,0.12,0,0.12,NaN
hw,1,OK,47,0,0.0171257,0.371313,0.180678,1,0.12,0,0.12,NaN
sim,1,OK,6,0,0.0171782,0.371871,0.181796,1,0.12,0,0.12,NaN
hw,1,OK,6,0,0.0171782,0.371871,0.181796,1,0.12,0,0.12,NaN
sim,1,OK,11,0,0.0171388,0.407083,0.100678,1,0.12,0,0.12,NaN
hw,1,OK,12,0,0.0171388,0.407083,0.100678,1,0.12,0,0.12,NaN
sim,1,OK,11,0,0.0171388,0.407083,0.100678,1,0.12,0,0.12,NaN
hw,1,OK,12,0,0.0171388,0.407083,0.100678,1,0.12,0,0.12,NaN
sim,1,OK,6,0,0.0171513,0.371313,0.220678,1,0.12,0,0.12,NaN
hw,1,OK,6,0,0.0171513,0.371313,0.220678,1,0.12,0,0.12,NaN
sim,1,OK,10,0,0.0172032,0.366762,0.134678,1,0.12,0,0.12,NaN
hw,1,OK,10,0,0.0172032,0.366762,0.134678,1,0.12,0,0.12,NaN
sim,1,OK,10,0,0.0172032,0.366762,0.134678,1,0.12,0,0.12,NaN
hw,1,OK,11,0,0.0172032,0.366762,0.134678,1,0.12,0,0.12,NaN
sim,1,OK,11,0,0.0171571,0.371313,0.146678,1,0.12,0,0.12,NaN
hw,1,OK,11,0,0.0171571,0.371313,0.146678,1,0.12,0,0.12,NaN
sim,1,OK,12,0,0.0171394,0.395433,0.0266777,1,0.12,0,0.12,NaN
hw,1,OK,13,0,0.0171394,0.395433,0.0266777,1,0.12,0,0.12,NaN
sim,1,OK,12,0,0.0171394,0.395433,0.0266777,1,0.12,0,0.12,NaN
hw,1,OK,13,0,0.0171394,0.395433,0.0266777,1,0.12,0,0.12,NaN
sim,1,OK,44,0,0.0171453,0.220099,0.146678,1,0.12,0,0.12,NaN
hw,1,OK,44,0,0.0171453,0.220099,0.146678,1,0.12,0,0.12,NaN
sim,1,OK,11,0,0.017168,0.295102,0.176678,1,0.12,0,0.12,NaN
hw,1,OK,11,0,0.017168,0.295102,0.176678,1,0.12,0,0.12,NaN
sim,1,OK,6,0,0.0171866,0.405082,0.180678,1,0.12,0,0.12,NaN
hw,1,OK,6,0,0.0171866,0.405082,0.180678,1,0.12,0,0.12,NaN
sim,1,OK,11,0,0.0171414,0.405082,0.0606777,1,0.12,0,0.12,NaN
hw,1,OK,12,0,0.0171414,0.405082,0.0606777,1,0.12,0,0.12,NaN
sim,1,OK,11,0,0.0171414,0.405082,0.0606777,1,0.12,0,0.12,NaN
hw,1,OK,12,0,0.0171414,0.405082,0.0606777,1,0.12,0,0.12,NaN
sim,1,OK,33,0,0.0171378,0.15,0.180678,1,0.12,0,0.12,NaN
hw,1,OK,33,0,0.0171378,0.15,0.180678,1,0.12,0,0.12,NaN
sim,1,OK,8,0,0.0172369,0.146711,0.0606777,1,0.12,0,0.12,NaN
hw,1,OK,8,0,0.0172369,0.146711,0.0606777,1,0.12,0,0.12,NaN
sim,1,OK,8,0,0.0172369,0.146711,0.0606777,1,0.12,0,0.12,NaN
hw,1,OK,9,0,0.0172367,0.146711,0.0606777,1,0.12,0,0.12,NaN
sim,1,OK,52,0,0.0171258,0.15,0.180677,1,0.12,0,0.12,NaN
hw,1,OK,52,0,0.0171258,0.15,0.180677,1,0.12,0,0.12,NaN
sim,1,OK,10,0,0.017152,0.335698,0.100678,1,0.12,0,0.12,NaN
hw,1,OK,11,0,0.017152,0.334335,0.100678,1,0.12,0,0.12,NaN
sim,1,OK,10,0,0.017152,0.335698,0.100678,1,0.12,0,0.12,NaN
hw,1,OK,11,0,0.017152,0.335698,0.100678,1,0.12,0,0.12,NaN
sim,1,OK,20,0,0.0171275,0.15,0.146678,1,0.12,0,0.12,NaN
hw,1,OK,20,0,0.0171275,0.15,0.146678,1,0.12,0,0.12,NaN
sim,1,OK,12,0,0.0172136,0.145714,0.0266777,1,0.12,0,0.12,NaN
hw,1,OK,12,0,0.0172136,0.145714,0.0266777,1,0.12,0,0.12,NaN
sim,1,OK,12,0,0.0172136,0.145714,0.0266777,1,0.12,0,0.12,NaN
hw,1,OK,13,0,0.0172136,0.145714,0.0266777,1,0.12,0,0.12,NaN
sim,1,OK,51,0,0.0171254,0.15,0.146678,1,0.12,0,0.12,NaN
hw,1,OK,51,0,0.0171254,0.15,0.146678,1,0.12,0,0.12,NaN
sim,1,OK,11,0,0.0171327,0.240943,0.0606777,1,0.12,0,0.12,NaN
hw,1,OK,12,0,0.0171327,0.240943,0.0606777,1,0.12,0,0.12,NaN
sim,1,OK,11,0,0.0171327,0.240943,0.0606777,1,0.12,0,0.12,NaN
hw,1,OK,12,0,0.0171327,0.240943,0.0606777,1,0.12,0,0.12,NaN
sim,1,OK,38,0,0.017128,0.136476,0.180677,1,0.12,0,0.12,NaN
hw,1,OK,38,0,0.017128,0.136476,0.180677,1,0.12,0,0.12,NaN
sim,1,OK,8,0,0.0172369,0.146711,0.0606777,1,0.12,0,0.12,NaN
hw,1,OK,8,0,0.0172369,0.146711,0.0606777,1,0.12,0,0.12,NaN
sim,1,OK,8,0,0.0172369,0.146711,0.0606777,1,0.12,0,0.12,NaN
hw,1,OK,9,0,0.0172367,0.146711,0.0606777,1,0.12,0,0.12,NaN
sim,1,OK,23,0,0.0171335,0.15,0.155678,1,0.12,0,0.12,NaN
hw,1,OK,23,0,0.0171335,0.15,0.155678,1,0.12,0,0.12,NaN
sim,1,OK,9,0,0.0171335,0.296041,0.0356776,1,0.12,0,0.12,NaN
hw,1,OK,10,0,0.0171335,0.294157,0.0356776,1,0.12,0,0.12,NaN
sim,1,OK,9,0,0.0171335,0.296041,0.0356776,1,0.12,0,0.12,NaN
hw,1,OK,10,0,0.0171335,0.296041,0.0356776,1,0.12,0,0.12,NaN
sim,1,OK,18,0,0.0171335,0.300306,0.155677,1,0.12,0,0.12,NaN
hw,1,OK,18,0,0.0171335,0.300306,0.155677,1,0.12,0,0.12,NaN
sim,1,OK,11,0,0.0171433,0.361632,0.100678,1,0.12,0,0.12,NaN
hw,1,OK,11,0,0.0171433,0.361632,0.100678,1,0.12,0,0.12,NaN
sim,1,OK,2,0,0.0171335,0.300306,0.155677,1,0.12,0,0.12,NaN
hw,1,OK,19,0,0.0171335,0.300306,0.155677,1,0.12,0,0.12,NaN
sim,1,OK,9,0,0.0171335,0.296041,0.0356777,1,0.12,0,0.12,NaN
hw,1,OK,9,0,0.0171335,0.296041,0.0356777,1,0.12,0,0.12,NaN
sim,1,OK,9,0,0.0171335,0.296041,0.0356777,1,0.12,0,0.12,NaN
hw,1,OK,10,0,0.0171335,0.296041,0.0356777,1,0.12,0,0.12,NaN
sim,1,OK,13,0,0.0171335,0.300306,0.155677,1,0.12,0,0.12,NaN
hw,1,OK,13,0,0.0171335,0.300306,0.155677,1,0.12,0,0.12,NaN
sim,1,OK,14,0,0.0171402,0.306512,0.155678,1,0.12,0,0.12,NaN
hw,1,OK,14,0,0.0171402,0.306512,0.155678,1,0.12,0,0.12,NaN
sim,1,OK,9,0,0.0171402,0.305926,0.0356777,1,0.12,0,0.12,NaN
hw,1,OK,10,0,0.0171402,0.305926,0.0356777,1,0.12,0,0.12,NaN
sim,1,OK,9,0,0.0171402,0.305926,0.0356777,1,0.12,0,0.12,NaN
hw,1,OK,10,0,0.0171402,0.305926,0.0356777,1,0.12,0,0.12,NaN
sim,1,OK,18,0,0.0171402,0.306512,0.155678,1,0.12,0,0.12,NaN
hw,1,OK,18,0,0.0171402,0.306512,0.155678,1,0.12,0,0.12,NaN
sim,1,OK,10,0,0.0171334,0.366535,0.125678,1,0.12,0,0.12,NaN
hw,1,OK,11,0,0.0171334,0.366535,0.125678,1,0.12,0,0.12,NaN
sim,1,OK,10,0,0.0171334,0.366535,0.125678,1,0.12,0,0.12,NaN
hw,1,OK,11,0,0.0171334,0.366535,0.125678,1,0.12,0,0.12,NaN
sim,1,OK,37,0,0.0171315,0.15,0.180678,1,0.12,0,0.12,NaN
hw,1,OK,37,0,0.0171315,0.15,0.180678,1,0.12,0,0.12,NaN
sim,1,OK,11,0,0.0172162,0.14585,0.0606776,1,0.12,0,0.12,NaN
hw,1,OK,11,0,0.0172162,0.14585,0.0606776,1,0.12,0,0.12,NaN
sim,1,OK,11,0,0.0172162,0.14585,0.0606776,1,0.12,0,0.12,NaN
hw,1,OK,12,0,0.0172162,0.14585,0.0606776,1,0.12,0,0.12,NaN
sim,1,OK,15,0,0.0171829,0.149895,0.155678,1,0.12,0,0.12,NaN
hw,1,OK,15,0,0.0171829,0.149895,0.155678,1,0.12,0,0.12,NaN
sim,1,OK,12,0,0.0171583,0.288387,0.0356776,1,0.12,0,0.12,NaN
hw,1,OK,13,0,0.0171583,0.282417,0.0356776,1,0.12,0,0.12,NaN
