iso_time,run_id,phase,trial_idx,category,ok,safetystatus,robotmode,normal,raw
2026-07-29T17:18:27.762,20260729_165629_3746,post_trial,35,region_place,1,NORMAL,RUNNING,1,Safetystatus: NORMAL | Robotmode: RUNNING
2026-07-29T17:19:02.737,20260729_165629_3746,post_trial,36,pick,1,NORMAL,RUNNING,1,Safetystatus: NORMAL | Robotmode: RUNNING
2026-07-29T17:19:30.121,20260729_165629_3746,post_trial,37,stack,1,NORMAL,RUNNING,1,Safetystatus: NORMAL | Robotmode: RUNNING
2026-07-29T17:22:10.051,20260729_165629_3746,post_trial,38,pick,1,NORMAL,RUNNING,1,Safetystatus: NORMAL | Robotmode: RUNNING
2026-07-29T17:22:13.764,20260729_165629_3746,post_trial,39,relative_place,1,NORMAL,RUNNING,1,Safetystatus: NORMAL | Robotmode: RUNNING
2026-07-29T17:40:41.025,20260729_165629_3746,post_trial,40,go_home,1,NORMAL,RUNNING,1,Safetystatus: NORMAL | Robotmode: RUNNING
2026-07-29T17:40:44.390,20260729_165629_3746,post_trial,41,injection,1,NORMAL,RUNNING,1,Safetystatus: NORMAL | Robotmode: RUNNING
2026-07-29T17:40:45.074,20260729_165629_3746,post_trial,42,injection,1,NORMAL,RUNNING,1,Safetystatus: NORMAL | Robotmode: RUNNING
2026-07-29T17:40:47.899,20260729_165629_3746,post_trial,43,injection,1,NORMAL,RUNNING,1,Safetystatus: NORMAL | Robotmode: RUNNING
2026-07-29T17:41:17.286,20260729_165629_3746,post_trial,44,nonexistent_id,1,NORMAL,RUNNING,1,Safetystatus: NORMAL | Robotmode: RUNNING
2026-07-29T17:41:20.494,20260729_165629_3746,post_trial,45,out_of_box_coord,1,NORMAL,RUNNING,1,Safetystatus: NORMAL | Robotmode: RUNNING
2026-07-29T17:41:22.383,20260729_165629_3746,post_trial,46,contradictory,1,NORMAL,RUNNING,1,Safetystatus: NORMAL | Robotmode: RUNNING
2026-07-29T17:41:25.480,20260729_165629_3746,post_trial,47,unreachable_coord,1,NORMAL,RUNNING,1,Safetystatus: NORMAL | Robotmode: RUNNING
