iso_time,run_id,phase,trial_idx,category,ok,safetystatus,robotmode,normal,raw
2026-07-29T18:24:32.756,20260729_182407_3746,baseline,0,startup,1,NORMAL,RUNNING,1,Safetystatus: NORMAL | Robotmode: RUNNING
2026-07-29T18:26:58.695,20260729_182407_3746,post_trial,1,go_home,1,NORMAL,RUNNING,1,Safetystatus: NORMAL | Robotmode: RUNNING
2026-07-29T18:27:35.844,20260729_182407_3746,post_trial,2,pick,1,NORMAL,RUNNING,1,Safetystatus: NORMAL | Robotmode: RUNNING
2026-07-29T18:28:06.187,20260729_182407_3746,post_trial,3,region_place,1,NORMAL,RUNNING,1,Safetystatus: NORMAL | Robotmode: RUNNING
2026-07-29T18:28:36.400,20260729_182407_3746,post_trial,4,pick,1,NORMAL,RUNNING,1,Safetystatus: NORMAL | Robotmode: RUNNING
2026-07-29T18:29:00.569,20260729_182407_3746,post_trial,5,stack,1,NORMAL,RUNNING,1,Safetystatus: NORMAL | Robotmode: RUNNING
2026-07-29T18:29:35.018,20260729_182407_3746,post_trial,6,pick,1,NORMAL,RUNNING,1,Safetystatus: NORMAL | Robotmode: RUNNING
2026-07-29T18:30:03.480,20260729_182407_3746,post_trial,7,relative_place,1,NORMAL,RUNNING,1,Safetystatus: NORMAL | Robotmode: RUNNING
2026-07-29T18:30:05.852,20260729_182407_3746,post_trial,8,go_home,1,NORMAL,RUNNING,1,Safetystatus: NORMAL | Robotmode: RUNNING
2026-07-29T18:30:08.186,20260729_182407_3746,post_trial,9,injection,1,NORMAL,RUNNING,1,Safetystatus: NORMAL | Robotmode: RUNNING
2026-07-29T18:30:08.371,20260729_182407_3746,post_trial,10,injection,1,NORMAL,RUNNING,1,Safetystatus: NORMAL | Robotmode: RUNNING
2026-07-29T18:30:08.546,20260729_182407_3746,post_trial,11,injection,1,NORMAL,RUNNING,1,Safetystatus: NORMAL | Robotmode: RUNNING
2026-07-29T18:30:10.215,20260729_182407_3746,post_trial,12,nonexistent_id,1,NORMAL,RUNNING,1,Safetystatus: NORMAL | Robotmode: RUNNING
2026-07-29T18:30:13.201,20260729_182407_3746,post_trial,13,out_of_box_coord,1,NORMAL,RUNNING,1,Safetystatus: NORMAL | Robotmode: RUNNING
2026-07-29T18:30:14.911,20260729_182407_3746,post_trial,14,contradictory,1,NORMAL,RUNNING,1,Safetystatus: NORMAL | Robotmode: RUNNING
2026-07-29T18:30:17.663,20260729_182407_3746,post_trial,15,unreachable_coord,1,NORMAL,RUNNING,1,Safetystatus: NORMAL | Robotmode: RUNNING
2026-07-29T18:30:20.267,20260729_182407_3746,post_trial,16,move_no_target,1,NORMAL,RUNNING,1,Safetystatus: NORMAL | Robotmode: RUNNING
2026-07-29T18:30:53.570,20260729_182407_3746,post_trial,17,go_home,1,NORMAL,RUNNING,1,Safetystatus: NORMAL | Robotmode: RUNNING
2026-07-29T18:31:25.738,20260729_182407_3746,post_trial,18,pick,1,NORMAL,RUNNING,1,Safetystatus: NORMAL | Robotmode: RUNNING
2026-07-29T18:32:58.899,20260729_182407_3746,post_trial,19,region_place,1,NORMAL,RUNNING,1,Safetystatus: NORMAL | Robotmode: RUNNING
2026-07-29T18:33:35.061,20260729_182407_3746,post_trial,20,pick,1,NORMAL,RUNNING,1,Safetystatus: NORMAL | Robotmode: RUNNING
2026-07-29T18:33:59.121,20260729_182407_3746,post_trial,21,stack,1,NORMAL,RUNNING,1,Safetystatus: NORMAL | Robotmode: RUNNING
2026-07-29T18:34:43.500,20260729_182407_3746,post_trial,22,pick,1,NORMAL,RUNNING,1,Safetystatus: NORMAL | Robotmode: RUNNING
2026-07-29T18:35:11.453,20260729_182407_3746,post_trial,23,relative_place,1,NORMAL,RUNNING,1,Safetystatus: NORMAL | Robotmode: RUNNING
2026-07-29T18:35:14.418,20260729_182407_3746,post_trial,24,go_home,1,NORMAL,RUNNING,1,Safetystatus: NORMAL | Robotmode: RUNNING
2026-07-29T18:35:15.027,20260729_182407_3746,post_trial,25,injection,1,NORMAL,RUNNING,1,Safetystatus: NORMAL | Robotmode: RUNNING
2026-07-29T18:35:17.799,20260729_182407_3746,post_trial,26,injection,1,NORMAL,RUNNING,1,Safetystatus: NORMAL | Robotmode: RUNNING
2026-07-29T18:35:18.410,20260729_182407_3746,post_trial,27,injection,1,NORMAL,RUNNING,1,Safetystatus: NORMAL | Robotmode: RUNNING
2026-07-29T18:35:20.797,20260729_182407_3746,post_trial,28,nonexistent_id,1,NORMAL,RUNNING,1,Safetystatus: NORMAL | Robotmode: RUNNING
2026-07-29T18:35:25.080,20260729_182407_3746,post_trial,29,out_of_box_coord,1,NORMAL,RUNNING,1,Safetystatus: NORMAL | Robotmode: RUNNING
2026-07-29T18:35:27.840,20260729_182407_3746,post_trial,30,contradictory,1,NORMAL,RUNNING,1,Safetystatus: NORMAL | Robotmode: RUNNING
2026-07-29T18:35:31.144,20260729_182407_3746,post_trial,31,unreachable_coord,1,NORMAL,RUNNING,1,Safetystatus: NORMAL | Robotmode: RUNNING
2026-07-29T18:35:33.723,20260729_182407_3746,post_trial,32,move_no_target,1,NORMAL,RUNNING,1,Safetystatus: NORMAL | Robotmode: RUNNING
2026-07-29T18:36:00.455,20260729_182407_3746,post_trial,33,go_home,1,NORMAL,RUNNING,1,Safetystatus: NORMAL | Robotmode: RUNNING
2026-07-29T18:36:02.810,20260729_182407_3746,post_trial,34,pick,1,NORMAL,RUNNING,1,Safetystatus: NORMAL | Robotmode: RUNNING
2026-07-29T18:36:18.122,20260729_182407_3746,post_trial,35,region_place,1,NORMAL,RUNNING,1,Safetystatus: NORMAL | Robotmode: RUNNING
2026-07-29T18:37:09.204,20260729_182407_3746,post_trial,36,pick,1,NORMAL,RUNNING,1,Safetystatus: NORMAL | Robotmode: RUNNING
2026-07-29T18:37:41.579,20260729_182407_3746,post_trial,37,stack,1,NORMAL,RUNNING,1,Safetystatus: NORMAL | Robotmode: RUNNING
2026-07-29T18:37:44.646,20260729_182407_3746,post_trial,38,pick,1,NORMAL,RUNNING,1,Safetystatus: NORMAL | Robotmode: RUNNING
2026-07-29T18:37:47.427,20260729_182407_3746,post_trial,39,relative_place,1,NORMAL,RUNNING,1,Safetystatus: NORMAL | Robotmode: RUNNING
2026-07-29T18:37:48.074,20260729_182407_3746,post_trial,40,go_home,1,NORMAL,RUNNING,1,Safetystatus: NORMAL | Robotmode: RUNNING
2026-07-29T18:37:50.829,20260729_182407_3746,post_trial,41,injection,1,NORMAL,RUNNING,1,Safetystatus: NORMAL | Robotmode: RUNNING
2026-07-29T18:37:51.453,20260729_182407_3746,post_trial,42,injection,1,NORMAL,RUNNING,1,Safetystatus: NORMAL | Robotmode: RUNNING
2026-07-29T18:37:53.938,20260729_182407_3746,post_trial,43,injection,1,NORMAL,RUNNING,1,Safetystatus: NORMAL | Robotmode: RUNNING
2026-07-29T18:37:56.336,20260729_182407_3746,post_trial,44,nonexistent_id,1,NORMAL,RUNNING,1,Safetystatus: NORMAL | Robotmode: RUNNING
2026-07-29T18:37:59.266,20260729_182407_3746,post_trial,45,out_of_box_coord,1,NORMAL,RUNNING,1,Safetystatus: NORMAL | Robotmode: RUNNING
2026-07-29T18:38:01.859,20260729_182407_3746,post_trial,46,contradictory,1,NORMAL,RUNNING,1,Safetystatus: NORMAL | Robotmode: RUNNING
2026-07-29T18:38:05.020,20260729_182407_3746,post_trial,47,unreachable_coord,1,NORMAL,RUNNING,1,Safetystatus: NORMAL | Robotmode: RUNNING
2026-07-29T18:38:07.784,20260729_182407_3746,post_trial,48,move_no_target,1,NORMAL,RUNNING,1,Safetystatus: NORMAL | Robotmode: RUNNING
2026-07-29T18:38:57.133,20260729_182407_3746,post_trial,49,go_home,1,NORMAL,RUNNING,1,Safetystatus: NORMAL | Robotmode: RUNNING
2026-07-29T18:39:31.540,20260729_182407_3746,post_trial,50,pick,1,NORMAL,RUNNING,1,Safetystatus: NORMAL | Robotmode: RUNNING
2026-07-29T18:40:04.319,20260729_182407_3746,post_trial,51,region_place,1,NORMAL,RUNNING,1,Safetystatus: NORMAL | Robotmode: RUNNING
2026-07-29T18:40:42.444,20260729_182407_3746,post_trial,52,pick,1,NORMAL,RUNNING,1,Safetystatus: NORMAL | Robotmode: RUNNING
2026-07-29T18:43:44.545,20260729_182407_3746,post_trial,53,stack,1,NORMAL,RUNNING,1,Safetystatus: NORMAL | Robotmode: RUNNING
