leg,ok,whyCode,nWaypoints,failWaypoint,minSelfClear,minBoxMargin,minFloorDist,envChecked,tolXY,tolZfloor,tolZceil,seed
sim,1,OK,12,0,0.0172136,0.145714,0.0266777,1,0.12,0,0.12,NaN
hw,1,OK,12,0,0.0172136,0.145714,0.0266777,1,0.12,0,0.12,NaN
sim,1,OK,12,0,0.0172136,0.145714,0.0266777,1,0.12,0,0.12,NaN
hw,1,OK,13,0,0.0172136,0.145714,0.0266777,1,0.12,0,0.12,NaN
sim,1,OK,30,0,0.0171352,0.15,0.146678,1,0.12,0,0.12,NaN
hw,1,OK,30,0,0.0171352,0.15,0.146678,1,0.12,0,0.12,NaN
sim,1,OK,10,0,0.0171352,0.376432,0.155678,1,0.12,0,0.12,NaN
hw,1,OK,10,0,0.0171352,0.376432,0.155678,1,0.12,0,0.12,NaN
sim,1,OK,11,0,0.0171722,0.405676,0.0356777,1,0.12,0,0.12,NaN
hw,1,OK,12,0,0.0171722,0.405676,0.0356777,1,0.12,0,0.12,NaN
sim,1,OK,11,0,0.0171722,0.405676,0.0356777,1,0.12,0,0.12,NaN
hw,1,OK,12,0,0.0171722,0.405676,0.0356777,1,0.12,0,0.12,NaN
sim,1,OK,11,0,0.0171472,0.376432,0.155678,1,0.12,0,0.12,NaN
hw,1,OK,11,0,0.0171472,0.376432,0.155678,1,0.12,0,0.12,NaN
sim,1,OK,6,0,0.0171342,0.376432,0.199678,1,0.12,0,0.12,NaN
hw,1,OK,6,0,0.0171342,0.376432,0.199678,1,0.12,0,0.12,NaN
sim,1,OK,6,0,0.0171342,0.376432,0.199678,1,0.12,0,0.12,NaN
hw,1,OK,7,0,0.0171342,0.376432,0.199678,1,0.12,0,0.12,NaN
sim,1,OK,8,0,0.0171347,0.376432,0.180678,1,0.12,0,0.12,NaN
hw,1,OK,8,0,0.0171347,0.376432,0.180678,1,0.12,0,0.12,NaN
sim,1,OK,12,0,0.0171296,0.376432,0.0606777,1,0.12,0,0.12,NaN
hw,1,OK,13,0,0.0171296,0.376432,0.0606777,1,0.12,0,0.12,NaN
sim,1,OK,12,0,0.0171296,0.376432,0.0606777,1,0.12,0,0.12,NaN
hw,1,OK,13,0,0.017128,0.376432,0.0606777,1,0.12,0,0.12,NaN
sim,1,OK,34,0,0.0171331,0.15,0.180678,1,0.12,0,0.12,NaN
hw,1,OK,34,0,0.0171331,0.15,0.180678,1,0.12,0,0.12,NaN
sim,1,OK,8,0,0.0172369,0.146711,0.0606777,1,0.12,0,0.12,NaN
hw,1,OK,8,0,0.0172369,0.146711,0.0606777,1,0.12,0,0.12,NaN
sim,1,OK,8,0,0.0172369,0.146711,0.0606777,1,0.12,0,0.12,NaN
hw,1,OK,9,0,0.0172367,0.146711,0.0606777,1,0.12,0,0.12,NaN
sim,1,OK,40,0,0.0171255,0.14978,0.155678,1,0.12,0,0.12,NaN
hw,1,OK,40,0,0.0171255,0.14978,0.155678,1,0.12,0,0.12,NaN
sim,1,OK,13,0,0.0171321,0.282364,0.0356777,1,0.12,0,0.12,NaN
hw,1,OK,14,0,0.0171321,0.282364,0.0356777,1,0.12,0,0.12,NaN
sim,1,OK,13,0,0.0171321,0.282364,0.0356777,1,0.12,0,0.12,NaN
hw,1,OK,14,0,0.0171321,0.282364,0.0356777,1,0.12,0,0.12,NaN
sim,1,OK,21,0,0.0171481,0.282364,0.155677,1,0.12,0,0.12,NaN
hw,1,OK,21,0,0.0171481,0.282364,0.155677,1,0.12,0,0.12,NaN
sim,1,OK,9,0,0.017215,0.285632,0.134678,1,0.12,0,0.12,NaN
hw,1,OK,9,0,0.017215,0.285632,0.134678,1,0.12,0,0.12,NaN
sim,1,OK,9,0,0.017215,0.285632,0.134678,1,0.12,0,0.12,NaN
hw,1,OK,10,0,0.017215,0.285632,0.134678,1,0.12,0,0.12,NaN
sim,1,OK,16,0,0.0171309,0.212428,0.146678,1,0.12,0,0.12,NaN
hw,1,OK,16,0,0.0171309,0.212428,0.146678,1,0.12,0,0.12,NaN
sim,1,OK,10,0,0.017146,0.210544,0.0266777,1,0.12,0,0.12,NaN
hw,1,OK,11,0,0.0171394,0.210544,0.0266777,1,0.12,0,0.12,NaN
sim,1,OK,10,0,0.017146,0.210544,0.0266777,1,0.12,0,0.12,NaN
hw,1,OK,11,0,0.017146,0.210544,0.0266777,1,0.12,0,0.12,NaN
sim,1,OK,83,0,0.0171244,0.212428,0.146678,1,0.12,0,0.12,NaN
hw,1,OK,83,0,0.0171244,0.212428,0.146678,1,0.12,0,0.12,NaN
sim,1,OK,10,0,0.0172262,0.280519,0.0266777,1,0.12,0,0.12,NaN
hw,1,OK,10,0,0.0172262,0.280519,0.0266777,1,0.12,0,0.12,NaN
sim,1,OK,10,0,0.0172262,0.280519,0.0266777,1,0.12,0,0.12,NaN
hw,1,OK,11,0,0.0172262,0.280519,0.0266777,1,0.12,0,0.12,NaN
sim,1,OK,48,0,0.0171331,0.15,0.146677,1,0.12,0,0.12,NaN
hw,1,OK,48,0,0.0171331,0.15,0.146677,1,0.12,0,0.12,NaN
sim,1,OK,48,0,0.0171262,0.15,0.156678,1,0.12,0,0.12,NaN
hw,1,OK,48,0,0.0171262,0.15,0.156678,1,0.12,0,0.12,NaN
sim,1,OK,12,0,0.0171612,0.365908,0.0606777,1,0.12,0,0.12,NaN
hw,1,OK,13,0,0.0171612,0.365908,0.0606777,1,0.12,0,0.12,NaN
sim,1,OK,12,0,0.0171612,0.365908,0.0606777,1,0.12,0,0.12,NaN
hw,1,OK,13,0,0.0171612,0.365908,0.0606777,1,0.12,0,0.12,NaN
sim,1,OK,62,0,0.0171319,0.15,0.156678,1,0.12,0,0.12,NaN
hw,1,OK,62,0,0.0171319,0.15,0.156678,1,0.12,0,0.12,NaN
sim,1,OK,45,0,0.0172622,0.149849,0.156677,1,0.12,0,0.12,NaN
hw,1,OK,45,0,0.0172622,0.149849,0.156677,1,0.12,0,0.12,NaN
sim,1,OK,8,0,0.0172369,0.146711,0.0606776,1,0.12,0,0.12,NaN
hw,1,OK,8,0,0.0172369,0.146711,0.0606776,1,0.12,0,0.12,NaN
sim,1,OK,8,0,0.0172369,0.146711,0.0606776,1,0.12,0,0.12,NaN
hw,1,OK,9,0,0.0172367,0.146711,0.0606776,1,0.12,0,0.12,NaN
sim,1,OK,36,0,0.0171315,0.15,0.155678,1,0.12,0,0.12,NaN
hw,1,OK,36,0,0.0171315,0.15,0.155678,1,0.12,0,0.12,NaN
sim,1,OK,12,0,0.0171417,0.364432,0.0356777,1,0.12,0,0.12,NaN
hw,1,OK,13,0,0.0171417,0.364432,0.0356777,1,0.12,0,0.12,NaN
sim,1,OK,12,0,0.0171417,0.364432,0.0356777,1,0.12,0,0.12,NaN
hw,1,OK,13,0,0.0171417,0.364432,0.0356777,1,0.12,0,0.12,NaN
sim,1,OK,41,0,0.0171338,0.15,0.155678,1,0.12,0,0.12,NaN
hw,1,OK,41,0,0.0171338,0.15,0.155678,1,0.12,0,0.12,NaN
sim,1,OK,9,0,0.0172541,0.145846,0.134678,1,0.12,0,0.12,NaN
hw,1,OK,9,0,0.0172541,0.145846,0.134678,1,0.12,0,0.12,NaN
sim,1,OK,9,0,0.0172541,0.145846,0.134678,1,0.12,0,0.12,NaN
hw,1,OK,10,0,0.0172541,0.145846,0.134678,1,0.12,0,0.12,NaN
sim,1,OK,42,0,0.0171251,0.149828,0.146678,1,0.12,0,0.12,NaN
hw,1,OK,42,0,0.0171251,0.149828,0.146678,1,0.12,0,0.12,NaN
sim,1,OK,13,0,0.0172234,0.368153,0.0266777,1,0.12,0,0.12,NaN
