iso_time,status,label,nWaypoints
2026-07-29T13:24:45.495,attempt,leg,2
2026-07-29T13:24:45.508,reached,leg,2
2026-07-29T13:24:50.242,attempt,leg,2
2026-07-29T13:24:50.254,reached,leg,2
2026-07-29T13:25:03.563,attempt,leg,37
2026-07-29T13:25:26.246,reached,leg,37
2026-07-29T13:25:30.574,attempt,leg,12
2026-07-29T13:25:37.316,reached,leg,12
2026-07-29T13:25:41.659,attempt,leg,12
2026-07-29T13:25:48.369,reached,leg,12
2026-07-29T13:25:58.442,attempt,leg,29
2026-07-29T13:26:16.265,reached,leg,29
2026-07-29T13:26:16.834,attempt,leg,8
2026-07-29T13:26:21.442,reached,leg,8
2026-07-29T13:26:25.536,attempt,leg,9
2026-07-29T13:26:30.546,reached,leg,9
2026-07-29T13:26:49.017,attempt,leg,31
2026-07-29T13:27:07.994,reached,leg,31
2026-07-29T13:27:12.306,attempt,leg,12
2026-07-29T13:27:19.114,reached,leg,12
2026-07-29T13:27:23.456,attempt,leg,12
2026-07-29T13:27:30.320,reached,leg,12
2026-07-29T13:27:38.946,attempt,leg,6
2026-07-29T13:27:41.919,reached,leg,6
2026-07-29T13:27:42.648,attempt,leg,10
2026-07-29T13:27:48.417,reached,leg,10
2026-07-29T13:27:52.639,attempt,leg,11
2026-07-29T13:27:58.847,reached,leg,11
2026-07-29T13:28:11.928,attempt,leg,46
2026-07-29T13:28:40.168,reached,leg,46
2026-07-29T13:29:30.772,attempt,leg,6
2026-07-29T13:29:33.880,reached,leg,6
2026-07-29T13:30:14.015,attempt,leg,2
2026-07-29T13:30:14.030,reached,leg,2
2026-07-29T13:30:29.536,attempt,leg,9
2026-07-29T13:30:34.632,reached,leg,9
2026-07-29T13:30:38.838,attempt,leg,11
2026-07-29T13:30:45.087,reached,leg,11
2026-07-29T13:30:49.350,attempt,leg,11
2026-07-29T13:30:55.606,reached,leg,11
2026-07-29T13:31:02.093,attempt,leg,2
2026-07-29T13:31:02.741,reached,leg,2
2026-07-29T13:31:03.101,attempt,leg,5
2026-07-29T13:31:06.016,reached,leg,5
2026-07-29T13:31:09.999,attempt,leg,6
2026-07-29T13:31:13.206,reached,leg,6
2026-07-29T13:34:46.508,attempt,leg,52
2026-07-29T13:35:18.828,reached,leg,52
2026-07-29T13:35:23.356,attempt,leg,13
2026-07-29T13:35:30.709,reached,leg,13
2026-07-29T13:35:35.122,attempt,leg,13
2026-07-29T13:35:42.513,reached,leg,13
2026-07-29T13:37:33.317,attempt,leg,45
2026-07-29T13:38:01.266,reached,leg,45
2026-07-29T13:38:31.809,attempt,leg,5
2026-07-29T13:38:34.418,reached,leg,5
2026-07-29T13:39:12.821,attempt,leg,2
2026-07-29T13:39:12.836,reached,leg,2
2026-07-29T13:39:21.630,attempt,leg,2
2026-07-29T13:39:22.506,reached,leg,2
2026-07-29T13:39:26.720,attempt,leg,11
2026-07-29T13:39:33.012,reached,leg,11
2026-07-29T13:39:37.287,attempt,leg,11
2026-07-29T13:39:43.552,reached,leg,11
2026-07-29T13:39:54.251,attempt,leg,27
2026-07-29T13:40:10.503,reached,leg,27
2026-07-29T13:40:11.075,attempt,leg,8
2026-07-29T13:40:15.680,reached,leg,8
2026-07-29T13:40:19.760,attempt,leg,9
2026-07-29T13:40:24.760,reached,leg,9
2026-07-29T13:40:34.999,attempt,leg,37
2026-07-29T13:40:57.768,reached,leg,37
2026-07-29T13:41:02.168,attempt,leg,14
2026-07-29T13:41:10.113,reached,leg,14
2026-07-29T13:41:14.619,attempt,leg,14
2026-07-29T13:41:22.609,reached,leg,14
2026-07-29T13:41:30.856,attempt,leg,24
2026-07-29T13:41:45.449,reached,leg,24
2026-07-29T13:41:46.167,attempt,leg,10
2026-07-29T13:41:51.927,reached,leg,10
2026-07-29T13:41:56.168,attempt,leg,11
2026-07-29T13:42:02.410,reached,leg,11
2026-07-29T13:42:25.656,attempt,leg,29
2026-07-29T13:42:43.350,reached,leg,29
2026-07-29T13:42:47.975,attempt,leg,12
2026-07-29T13:42:54.967,reached,leg,12
2026-07-29T13:42:59.773,attempt,leg,12
2026-07-29T13:43:07.081,reached,leg,12
2026-07-29T13:43:17.448,attempt,leg,37
2026-07-29T13:43:40.448,reached,leg,37
2026-07-29T13:43:52.006,attempt,leg,24
2026-07-29T13:44:06.631,reached,leg,24
2026-07-29T13:44:56.134,attempt,leg,2
2026-07-29T13:44:56.144,reached,leg,2
2026-07-29T13:45:09.993,attempt,leg,11
2026-07-29T13:45:16.413,reached,leg,11
2026-07-29T13:45:20.361,attempt,leg,7
2026-07-29T13:45:23.972,reached,leg,7
2026-07-29T13:45:27.965,attempt,leg,7
2026-07-29T13:45:31.597,reached,leg,7
2026-07-29T13:45:52.536,attempt,leg,38
2026-07-29T13:46:15.854,reached,leg,38
2026-07-29T13:46:16.422,attempt,leg,8
2026-07-29T13:46:20.908,reached,leg,8
2026-07-29T13:46:25.016,attempt,leg,9
2026-07-29T13:46:29.946,reached,leg,9
2026-07-29T13:46:38.916,attempt,leg,40
2026-07-29T13:47:03.450,reached,leg,40
2026-07-29T13:47:24.163,attempt,leg,13
2026-07-29T13:47:31.803,reached,leg,13
2026-07-29T13:48:10.787,attempt,leg,2
2026-07-29T13:48:10.814,reached,leg,2
2026-07-29T13:48:20.850,attempt,leg,50
2026-07-29T13:48:51.667,reached,leg,50
2026-07-29T13:49:41.928,attempt,leg,24
2026-07-29T13:49:56.435,reached,leg,24
2026-07-29T13:50:00.700,attempt,leg,12
2026-07-29T13:50:07.640,reached,leg,12
2026-07-29T13:50:11.978,attempt,leg,12
2026-07-29T13:50:18.947,reached,leg,12
2026-07-29T13:50:28.827,attempt,leg,24
2026-07-29T13:50:43.338,reached,leg,24
2026-07-29T13:50:50.704,attempt,leg,23
2026-07-29T13:51:04.745,reached,leg,23
2026-07-29T13:51:05.305,attempt,leg,8
2026-07-29T13:51:09.843,reached,leg,8
2026-07-29T13:51:13.944,attempt,leg,9
2026-07-29T13:51:18.825,reached,leg,9
2026-07-29T13:51:44.394,attempt,leg,36
2026-07-29T13:52:06.425,reached,leg,36
2026-07-29T13:52:10.816,attempt,leg,14
2026-07-29T13:52:18.889,reached,leg,14
2026-07-29T13:52:23.369,attempt,leg,14
2026-07-29T13:52:31.383,reached,leg,14
2026-07-29T13:52:51.595,attempt,leg,14
2026-07-29T13:52:59.769,reached,leg,14
2026-07-29T13:53:06.727,attempt,leg,11
2026-07-29T13:53:13.152,reached,leg,11
2026-07-29T13:53:34.545,attempt,leg,2
2026-07-29T13:53:34.560,reached,leg,2
